Date,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Adj_Close,NVDA_Volume,TSM_Open,TSM_High,TSM_Low,TSM_Close,TSM_Adj_Close,TSM_Volume,NXPI_Open,NXPI_High,NXPI_Low,NXPI_Close,NXPI_Adj_Close,NXPI_Volume,QCOM_Open,QCOM_High,QCOM_Low,QCOM_Close,QCOM_Adj_Close,QCOM_Volume,MPWR_Open,MPWR_High,MPWR_Low,MPWR_Close,MPWR_Adj_Close,MPWR_Volume,ON_Open,ON_High,ON_Low,ON_Close,ON_Adj_Close,ON_Volume,AMD_Open,AMD_High,AMD_Low,AMD_Close,AMD_Adj_Close,AMD_Volume,INTC_Open,INTC_High,INTC_Low,INTC_Close,INTC_Adj_Close,INTC_Volume,AVGO_Open,AVGO_High,AVGO_Low,AVGO_Close,AVGO_Adj_Close,AVGO_Volume,ASML_Open,ASML_High,ASML_Low,ASML_Close,ASML_Adj_Close,ASML_Volume,AMAT_Open,AMAT_High,AMAT_Low,AMAT_Close,AMAT_Adj_Close,AMAT_Volume,TXN_Open,TXN_High,TXN_Low,TXN_Close,TXN_Adj_Close,TXN_Volume
5/12/21,140.095001,142.602493,137.092499,137.585007,137.316559,30340800,109.349998,110.089996,108.059998,108.209999,102.243675,15058900,187.789993,189.990005,181.720001,182.779999,173.321457,3820500,126.029999,127.129997,123.68,124.620003,116.620216,13529600,314.459991,316.75,305.519989,306.100006,299.66983,429900,37.400002,37.700001,35.34,35.669998,35.669998,12062600,75.089996,76.129997,74.160004,74.639999,74.639999,42531400,54.389999,54.650002,53.419998,53.619999,49.379707,30232300,429.290009,430.859985,419.140015,422.380005,389.950745,2994000,615,619.710022,600.26001,601.880005,584.639038,1107700,119.330002,121.010002,114.389999,114.879997,112.005913,18648200,179.690002,180.100006,176.270004,176.600006,162.124313,5297900
5/13/21,140.337494,140.807495,134.589996,136.652496,136.385834,28540400,109.360001,111.43,107.900002,108.75,102.753891,10552000,184.850006,189.130005,184.690002,186.440002,176.792053,2586100,127.120003,128.479996,125.870003,127.110001,118.950371,10633000,312.600006,320.350006,303.940002,306.329987,299.894989,518000,36.09,37.099998,35.669998,36.52,36.52,7665000,75.209999,75.699997,72.5,73.089996,73.089996,48646800,54.040001,54.389999,53.459999,54.009998,49.738865,29192500,429.890015,434.820007,425.640015,430.600006,397.539703,2184100,621.640015,628.75,611.809998,623.090027,605.241455,1436100,118.489998,121.470001,117.889999,119.919998,116.919815,14228000,179.990005,180.630005,177.25,178.990005,164.31839,4361000
5/14/21,138.899994,143.279999,137.485001,142.429993,142.152084,25861600,110.610001,112.830002,110.239998,112.459999,106.259338,8425200,188.800003,194.949997,188.160004,192.270004,182.320358,2953800,128.630005,131.419998,127.809998,130.149994,121.795227,9391100,310.609985,319.48999,309.320007,316.519989,309.870972,462200,36.919998,37.990002,36.669998,37.450001,37.450001,6513800,74.019997,75.029999,72.720001,74.589996,74.589996,38355800,54.599998,55.849998,54.259998,55.349998,50.972897,28158300,436.390015,445.119995,432.049988,441.619995,407.713501,1696400,630.140015,651.140015,625.409973,647.76001,629.204895,1331000,121.889999,125.800003,120.260002,124.830002,121.706985,12422300,180.699997,184.919998,179.5,183.270004,168.247528,4433500
5/17/21,141.570007,141.692505,138.535004,141.654999,141.378616,21698000,109.07,110.029999,107.870003,109.800003,103.746002,10688600,190.259995,191.470001,187.240005,191.179993,181.286758,2244600,129.289993,129.830002,127.709999,129.800003,121.467705,5917400,311.910004,314.809998,305.790009,312.299988,305.739624,382100,36.970001,37.09,36.029999,36.740002,36.740002,4972200,74.220001,75.519997,73.410004,74.650002,74.650002,40779200,55.290001,55.889999,54.759998,55.330002,50.954479,20010200,442.140015,442.140015,432.839996,439.940002,406.162506,1572500,631.890015,636.080017,623.299988,635.349976,617.150269,929400,122,123.620003,120.370003,123.57,120.478508,9379000,182.25,182.380005,178.850006,180.830002,166.007584,4162300
5/18/21,142.669998,144.042496,140.039993,140.157501,139.884033,18625600,113,113.480003,110.739998,110.839996,104.728653,7476600,193.070007,195.350006,191.179993,191.25,181.353134,2288500,130.639999,131.240005,128.789993,128.910004,120.634834,8651100,315.279999,318.769989,309.230011,309.399994,302.900482,326800,37.16,37.330002,36.66,36.689999,36.689999,3407900,74.739998,75.769997,74.239998,74.440002,74.440002,31982500,55.950001,56.139999,54.799999,54.84,50.503227,18703400,443.920013,444.440002,433.279999,433.73999,400.438568,1782400,641.400024,643.76001,631.609985,632.190002,614.080872,644700,125.339996,125.389999,121.690002,121.809998,118.762535,7536700,181.110001,181.860001,178.589996,178.869995,164.208206,3454100
5/19/21,135.664993,140.794998,135.432495,140.657501,140.383057,34400000,108.5,112.489998,108,112.400002,106.202644,7280500,187.160004,195.809998,186.119995,194.940002,184.852173,2748900,127.190002,130.830002,126.449997,130.660004,122.272491,8112900,303,321.179993,301.529999,319.799988,313.082031,428200,35.860001,37.619999,35.650002,37.459999,37.459999,6779500,73.160004,76.970001,72.760002,76.230003,76.230003,73966200,54.07,55.43,53.84,55.360001,50.982105,23769700,426,442.5,425.700012,441.720001,407.805908,2136900,608.01001,630.97998,606.640015,630.780029,612.711243,1049600,118.419998,125.080002,117.790001,124.800003,121.677742,10424200,175.240005,181.929993,175,181.720001,166.8246,4780000
5/20/21,143.024994,146.837494,142.705002,146.125,145.83989,32159200,112.389999,113.720001,112.099998,113.279999,107.034126,6442500,195.589996,200.619995,195.589996,199.669998,189.337402,2641400,131.529999,133.279999,131.460007,132.639999,124.125381,9208400,323.600006,334.179993,320.01001,331.970001,324.996399,398000,37.66,38.73,37.59,38.529999,38.529999,6787900,76.809998,78.269997,76.25,78.059998,78.059998,49135000,55.57,56.240002,55.360001,55.950001,51.525448,23145200,445.75,459.299988,445.329987,455,420.066254,2188600,632.690002,652.25,631.75,648.77002,630.185974,1086900,126.809998,130.669998,125.239998,130.309998,127.049896,18239800,182.279999,186.539993,182.279999,185.300003,170.111176,5387000
5/21/21,151.637497,152.220001,148.695007,149.917496,149.624969,67299200,114,114,111.690002,111.849998,105.682983,5979400,201.130005,202.320007,199.179993,199.839996,189.498611,2237200,132.139999,132.690002,130.490005,131.460007,123.021149,8674000,332.660004,334.269989,322.350006,324.440002,317.624542,425500,38.779999,39.07,38.169998,38.220001,38.220001,3513800,78.550003,78.809998,77.040001,77.169998,77.169998,40201100,56.419998,56.709999,55.98,56.080002,51.645176,17723100,457.98999,457.98999,449.339996,451.23999,416.594971,1321600,645.859985,647.359985,636.179993,639.219971,620.909424,847500,129.850006,130.690002,127.019997,128.660004,125.441162,14252400,186.690002,186.690002,184.139999,185.009995,169.844925,3682300
5/24/21,152.125,157.449997,151.759995,156.119995,155.815384,55481600,112.260002,114.540001,112.120003,113.629997,107.364838,6653600,200.740005,205.699997,200.740005,204.380005,193.803696,2092100,131.330002,134,131.330002,132.910004,124.378075,8229300,326.390015,332,326.390015,329.899994,322.969849,261300,38.57,39.490002,38.450001,39.34,39.34,4009100,77.260002,78.010002,76.800003,77.440002,77.440002,33194300,56.650002,57.389999,56.400002,56.959999,52.455582,19164400,456.920013,462.440002,456.359985,459.190002,423.93457,1442000,647.5,662.26001,645.76001,658.950012,640.07428,794000,130.190002,135.630005,129.589996,134.580002,131.213043,11405600,186.449997,189.350006,186.449997,188.690002,173.223267,4175900
5/25/21,157.660004,158.184998,154.824997,156.477493,156.172195,43540800,114.849998,114.940002,113.599998,114.279999,107.978989,5331700,206,206.639999,204.130005,204.759995,194.164017,1916500,133.539993,134.300003,132.800003,133.75,125.164124,7271400,332,334.790009,329.350006,331.350006,324.389496,255100,39.650002,40.259998,38.779999,38.939999,38.939999,5169000,77.330002,78.769997,76.839996,77.860001,77.860001,47353100,57.560001,57.560001,56.419998,56.869999,52.3727,22309900,461.899994,462.959991,456.5,459.540009,424.25769,960000,671.169983,679.440002,667.280029,672.289978,653.032166,1088800,136.449997,139.149994,135.940002,137.5,134.060013,12721000,189.470001,189.679993,187.880005,188.699997,173.232437,4270100
